lam,beta,w0,wa,EDE,fs8_0,nec_ok,ede_ok,w0_in_range,valid
1.3,0.02,-0.7507417732021574,-0.30876628081202756,0.0001220749705950102,0.25691080698496616,True,True,True,True
1.3,0.03,-0.7568350255757513,-0.31597226461882544,0.000274528193730222,0.2571545780034421,True,True,True,True
1.3,0.04,-0.7625689385214851,-0.32296892952052275,0.0004877044520729949,0.257201213595461,True,True,True,True
1.3,0.05,-0.7683756011036225,-0.3298542658264255,0.0007613456313061671,0.25743960456761883,True,True,True,True
1.4,0.0,-0.6941352151461434,-0.3267582017653287,2.1598765925842935e-09,0.2559176801376893,True,True,True,True
1.4,0.01,-0.7007447900147344,-0.3347659805663799,3.052943151823247e-05,0.25596361240668475,True,True,True,True
1.4,0.02,-0.7069652003340308,-0.34257469296531434,0.00012207506306938454,0.25581630240388165,True,True,True,True
1.4,0.03,-0.7132644113370299,-0.3503193767018372,0.0002745282584911556,0.2558494460867619,True,True,True,True
1.4,0.04,-0.7196501628141315,-0.35799979989491526,0.0004877044911291935,0.25606400204443225,True,True,True,True
1.4,0.05,-0.7261297024212006,-0.3656139822480698,0.0007613456510643036,0.25646101290018475,True,True,True,True
1.5,0.0,-0.6448180016438108,-0.3568514632036035,2.3995808900524666e-09,0.2545607880904534,True,True,True,True
1.5,0.01,-0.6515853339297939,-0.3652822534644597,3.052961109929188e-05,0.2544028923539548,True,True,True,True
1.5,0.02,-0.658952206782727,-0.37388973375874124,0.00012207518205463306,0.25475691297378533,True,True,True,True
1.5,0.03,-0.6659109911088821,-0.38229529466928747,0.00027452833802487644,0.2549350000104107,True,True,True,True
1.5,0.04,-0.6724507786034729,-0.3904860994641714,0.0004877045455965663,0.2549421432360883,True,True,True,True
1.5,0.05,-0.6785623072913033,-0.39845083419699084,0.000761345690253019,0.2547831412482598,True,True,True,True
